Date,Open,High,Low,Close,Volume,Adj Close
2/21/2013,299.5,300.5,294.75,296.6,10319100,287
2/20/2013,302.95,305.7,299.35,300,7385100,290.29
2/19/2013,300,302.55,298.5,301.65,3725600,291.88
2/18/2013,300.45,300.9,298.75,300.3,7468000,290.58
2/15/2013,299.5,301.95,299.35,300.6,4672200,290.87
2/14/2013,300.35,301.95,299.1,300.75,7707200,291.01
2/13/2013,301,304.5,299.2,300.35,7062900,290.63
2/12/2013,298.5,300.95,298,300.05,4417800,290.34
2/11/2013,303,303.5,296.55,299.15,5367800,289.46
2/8/2013,302,306.35,299.2,301.75,7527000,291.98
2/7/2013,303.05,305.4,302,304.05,4317700,294.21
2/6/2013,303.35,305.9,301.1,304.85,8220600,294.98
2/5/2013,305,306.7,302,302.45,5320200,292.66
2/4/2013,309.4,310.9,306.25,307.25,7740200,297.3
2/1/2013,307.75,309.95,304.55,309.4,6604400,299.38
1/31/2013,305.65,309.4,303.1,307.65,9193800,297.69
1/30/2013,304.8,306.95,300,304.2,7425700,294.35
1/29/2013,299.1,306.75,299.1,305.15,9553800,295.27
1/28/2013,300,301.2,298.4,300.75,5563500,291.01
1/25/2013,299,300.5,297.15,299.75,13767500,290.05
1/24/2013,293,298.6,292.85,297.45,13410700,287.82
1/23/2013,289.5,293.45,288.75,292.75,7814500,283.27
1/22/2013,291.6,291.75,288,289.15,8426700,279.79
1/21/2013,289,292,286.3,291.55,13437700,282.11
1/18/2013,286.7,289.85,284.65,287.45,16371800,278.14
1/17/2013,283.1,286.85,281.5,285.3,8139800,276.06
1/16/2013,284.95,285.85,282.45,284,5954200,274.81
1/15/2013,278.25,285.2,274.75,284.1,11871800,274.9
1/14/2013,273.55,278.5,273.55,277.9,6851200,268.9
1/11/2013,279.75,280.7,272.1,273.4,9274100,264.55
1/10/2013,280.05,282,278.5,281,8346600,271.9
1/9/2013,284.75,285.7,278.7,279.5,7112700,270.45
1/8/2013,279.15,286.2,279.15,285.7,8956300,276.45
1/7/2013,284.3,285,278.5,279.05,8111500,270.02
1/4/2013,284.8,284.8,280.1,282.4,6028300,273.26
1/3/2013,286.1,286.5,282.8,283.55,4349600,274.37
1/2/2013,288,289.55,284.5,285.4,6530200,276.16
1/1/2013,287.35,289.2,286.65,287.25,2654700,277.95
