Date,Open,High,Low,Close,Volume,Adj Close
2012-07-10,111.30,115.85,111.30,114.40,1754600,53.816
2012-07-09,114.95,115.20,110.70,111.25,1240200,52.334
2012-07-06,115.25,117.20,115.05,115.50,1304000,54.333
2012-07-05,115.20,116.00,114.65,115.20,1254900,54.192
2012-07-04,115.50,118.25,113.50,115.05,1686500,54.121
2012-07-03,106.60,117.95,106.60,116.30,2348500,54.709
2012-07-02,108.35,114.90,108.35,114.05,2282100,53.651
2012-06-29,108.10,111.90,107.55,110.00,2141100,51.746
2012-06-28,108.70,108.70,106.35,106.90,1072600,50.287
2012-06-27,108.20,109.30,106.65,107.75,1117700,50.687
2012-06-26,108.00,109.00,106.20,108.25,823500,50.922
2012-06-25,109.90,110.40,107.95,108.20,821300,50.899
2012-06-22,106.70,109.75,106.70,109.25,1087600,51.393
2012-06-21,106.35,109.00,106.05,108.25,1233000,50.922
2012-06-20,106.30,106.95,105.45,106.45,1169200,50.076
2012-06-19,106.75,106.90,104.00,105.25,1318300,49.511
2012-06-18,109.20,111.45,105.40,106.05,1398600,49.888
2012-06-15,105.35,110.25,105.35,108.85,3268200,51.205
2012-06-14,106.10,107.40,105.00,106.05,1099200,49.888
2012-06-13,108.30,108.45,105.15,105.80,2338400,49.77
2012-06-12,105.00,108.45,105.00,107.25,4286000,50.452
2012-06-11,108.95,110.60,107.40,108.00,3551500,50.805
2012-06-08,111.45,111.45,106.55,107.15,2493800,50.405
2012-06-07,110.30,111.20,109.25,110.05,1244400,51.769
2012-06-06,106.25,109.90,106.00,109.20,1467100,51.369
2012-06-05,106.50,107.25,105.30,106.15,1300600,49.935
2012-06-04,105.15,107.20,103.65,105.50,2255300,49.629
2012-06-01,108.95,109.90,104.00,104.95,1958800,49.37
2012-05-31,106.95,110.75,106.60,108.85,2065900,51.205
2012-05-30,107.00,112.45,107.00,108.25,3182000,50.922
2012-05-29,117.00,117.90,109.75,110.40,3717000,51.934
2012-05-28,115.55,117.75,111.35,116.85,2464000,54.968
2012-05-25,115.45,118.35,112.15,117.00,2853100,55.039
2012-05-24,108.95,116.90,108.05,115.45,2814600,54.309
2012-05-23,109.15,113.30,107.15,107.85,2320200,50.734
2012-05-22,109.75,111.90,108.65,110.15,2119500,51.816
2012-05-21,109.00,110.80,107.30,107.85,2199200,50.734
