Date,Open,High,Low,Close,Volume,Adj Close
2013-05-08,3.30,3.35,3.20,3.25,462900,3.25
2013-05-07,3.20,3.50,3.15,3.35,1150300,3.35
2013-05-06,3.30,3.30,3.15,3.20,721600,3.20
2013-05-03,3.25,3.35,3.20,3.25,2022400,3.25
2013-05-02,3.40,3.40,3.25,3.35,826700,3.35
2013-05-01,3.30,3.30,3.30,3.30,000,3.30
2013-04-30,3.30,3.40,3.20,3.30,430400,3.30
2013-04-29,3.25,3.40,3.20,3.35,815000,3.35
2013-04-26,3.25,3.35,3.15,3.20,996700,3.20
2013-04-25,3.30,3.40,3.25,3.30,566000,3.30
2013-04-24,3.30,3.30,3.30,3.30,000,3.30
2013-04-23,3.50,3.50,3.25,3.30,646100,3.30
2013-04-22,3.35,3.55,3.35,3.45,590800,3.45
2013-04-19,3.50,3.50,3.50,3.50,000,3.50
2013-04-18,3.40,3.55,3.30,3.50,1014100,3.50
2013-04-17,3.35,3.60,3.35,3.40,710400,3.40
2013-04-16,3.55,3.65,3.40,3.45,1242300,3.45
2013-04-15,3.40,3.70,3.30,3.60,1099500,3.60
2013-04-12,3.60,3.60,3.35,3.40,1944400,3.40
2013-04-11,3.65,3.75,3.35,3.50,6240200,3.50
2013-04-10,3.30,3.65,3.25,3.55,3881700,3.55
2013-04-09,3.20,3.40,3.15,3.30,2005300,3.30
2013-04-08,3.10,3.30,3.10,3.10,2570700,3.10
2013-04-05,3.00,3.05,2.95,3.00,575800,3.00
2013-04-04,3.15,3.15,2.80,3.05,2188800,3.05
2013-04-03,3.20,3.40,3.15,3.20,1509200,3.20
2013-04-02,3.05,3.25,3.05,3.20,842300,3.20
2013-04-01,3.05,3.25,3.05,3.10,589900,3.10
2013-03-29,3.05,3.05,3.05,3.05,000,3.05
2013-03-28,3.10,3.10,2.95,3.05,1089900,3.05
2013-03-27,3.05,3.05,3.05,3.05,000,3.05
2013-03-26,3.05,3.10,3.00,3.05,1290500,3.05
2013-03-25,3.00,3.25,2.95,3.00,1928200,3.00
2013-03-22,3.00,3.00,2.90,2.95,482900,2.95
2013-03-21,2.95,3.10,2.90,3.00,1144900,3.00
2013-03-20,3.15,3.15,2.85,2.95,1197300,2.95
2013-03-19,3.20,3.30,3.10,3.10,1826300,3.10
2013-03-18,3.10,3.35,2.95,3.15,1212700,3.15
2013-03-15,3.00,3.10,2.95,3.00,652400,3.00
2013-03-14,3.00,3.05,2.90,3.00,581800,3.00
2013-03-13,3.10,3.15,2.95,3.00,684900,3.00
2013-03-12,3.20,3.20,3.00,3.15,297400,3.15
2013-03-11,3.30,3.30,2.80,3.15,752400,3.15
2013-03-08,3.20,3.40,3.20,3.20,1258700,3.20
2013-03-07,3.00,3.35,3.00,3.15,1956600,3.15
2013-03-06,2.95,3.00,2.90,2.95,781400,2.95
2013-03-05,2.95,3.05,2.85,3.00,670300,3.00
2013-03-04,2.95,2.95,2.85,2.90,1000300,2.90
2013-03-01,2.90,2.95,2.75,2.90,828700,2.90
2013-02-28,3.00,3.00,2.85,2.85,967000,2.85
2013-02-27,2.95,3.05,2.85,2.90,1714700,2.90
2013-02-26,3.00,3.00,2.90,2.95,854600,2.95
2013-02-25,3.15,3.25,3.00,3.00,1386300,3.00
2013-02-22,3.30,3.35,3.10,3.15,1376100,3.15
2013-02-21,3.40,3.40,3.10,3.25,2546200,3.25
2013-02-20,3.40,3.45,3.15,3.35,2605400,3.35
2013-02-19,3.60,3.70,3.30,3.40,2426700,3.40
2013-02-18,3.80,3.80,3.30,3.60,5522400,3.60
2013-02-15,2.75,3.20,2.70,3.20,3596800,3.20
2013-02-14,2.85,2.85,2.70,2.70,934100,2.70
2013-02-13,2.75,2.85,2.70,2.75,907600,2.75
2013-02-12,2.85,2.85,2.70,2.75,668400,2.75
2013-02-11,2.75,2.85,2.75,2.80,556400,2.80
2013-02-08,2.80,2.85,2.70,2.75,1060900,2.75
2013-02-07,2.85,2.95,2.80,2.85,1399400,2.85
2013-02-06,2.95,2.95,2.80,2.80,576300,2.80
2013-02-05,2.80,2.95,2.80,2.90,475500,2.90
2013-02-04,2.90,2.90,2.85,2.90,566100,2.90
2013-02-01,2.90,2.95,2.85,2.90,773800,2.90
2013-01-31,2.95,2.95,2.85,2.90,525200,2.90
2013-01-30,2.85,2.95,2.85,2.90,397800,2.90
2013-01-29,2.90,2.90,2.80,2.85,848000,2.85
2013-01-28,3.00,3.00,2.90,2.90,460700,2.90
2013-01-25,2.90,3.00,2.75,2.95,1010200,2.95
2013-01-24,2.95,3.00,2.80,2.85,1146400,2.85
2013-01-23,3.00,3.05,2.90,2.95,865500,2.95
2013-01-22,3.10,3.10,2.95,3.05,510300,3.05
2013-01-21,3.00,3.05,2.85,3.00,845900,3.00
2013-01-18,3.15,3.15,3.00,3.00,674700,3.00
2013-01-17,3.10,3.15,2.95,3.05,706500,3.05
2013-01-16,3.15,3.20,3.10,3.10,492100,3.10
2013-01-15,3.15,3.25,3.10,3.10,459500,3.10
2013-01-14,3.10,3.20,3.10,3.15,664600,3.15
2013-01-11,3.15,3.20,3.10,3.10,839100,3.10
2013-01-10,3.20,3.30,3.15,3.15,1896000,3.15
2013-01-09,3.35,3.35,3.20,3.25,850400,3.25
2013-01-08,3.25,3.30,3.00,3.25,2032500,3.25
2013-01-07,3.20,3.30,3.20,3.20,826000,3.20
2013-01-04,3.25,3.30,3.20,3.20,627000,3.20
2013-01-03,3.35,3.35,3.25,3.25,1213000,3.25
2013-01-02,3.25,3.35,3.20,3.30,1714000,3.30
2013-01-01,3.10,3.25,3.10,3.20,1862000,3.20
2012-12-31,3.60,3.75,2.85,3.05,25438100,3.05
2012-12-28,3.30,3.65,3.30,3.55,1443900,3.55
2012-12-27,3.25,3.35,3.20,3.30,727600,3.30
2012-12-26,3.25,3.25,3.20,3.20,391800,3.20
2012-12-25,3.20,3.20,3.20,3.20,000,3.20
2012-12-24,3.30,3.30,3.15,3.20,760300,3.20
2012-12-21,3.35,3.35,3.15,3.20,1523100,3.20
2012-12-20,3.35,3.40,3.30,3.30,1244300,3.30
2012-12-19,3.35,3.45,3.30,3.35,2232800,3.35
2012-12-18,3.40,3.55,3.30,3.30,3092700,3.30
2012-12-17,3.40,3.60,3.30,3.35,3265500,3.35
2012-12-14,3.40,3.45,3.30,3.35,2373400,3.35
2012-12-13,3.45,3.55,3.30,3.35,2022600,3.35
2012-12-12,3.40,3.55,3.40,3.45,796600,3.45
2012-12-11,3.50,3.65,3.40,3.40,3592500,3.40
2012-12-10,3.50,3.65,3.45,3.45,2821800,3.45
2012-12-07,3.55,3.60,3.45,3.45,2368100,3.45
2012-12-06,3.65,3.80,3.50,3.55,3664300,3.55
2012-12-05,3.90,3.95,3.55,3.65,5215800,3.65
2012-12-04,3.95,3.95,3.65,3.85,2132300,3.85
2012-12-03,4.00,4.20,3.60,3.70,3356700,3.70
2012-11-30,3.90,4.05,3.80,3.85,1893000,3.85
2012-11-29,4.35,4.40,3.85,3.90,1805100,3.90
2012-11-28,3.95,3.95,3.95,3.95,000,3.95
2012-11-27,4.00,4.05,3.95,3.95,1128100,3.95
2012-11-26,4.10,4.15,3.95,4.00,754500,4.00
2012-11-23,4.00,4.15,4.00,4.05,277800,4.05
2012-11-22,4.20,4.30,3.95,4.10,1352000,4.10
2012-11-21,4.20,4.25,4.20,4.20,244700,4.20
2012-11-20,4.30,4.45,4.25,4.25,433000,4.25
2012-11-19,4.50,4.50,4.35,4.35,601300,4.35
2012-11-16,4.45,4.50,4.40,4.45,695200,4.45
2012-11-15,4.50,4.50,4.35,4.40,562400,4.40
2012-11-14,4.45,4.45,4.45,4.45,000,4.45
2012-11-13,4.45,4.45,4.45,4.45,000,4.45
2012-11-12,4.40,4.65,4.40,4.45,704800,4.45
2012-11-09,4.50,4.50,4.40,4.40,310000,4.40
2012-11-08,4.35,4.50,4.35,4.40,350800,4.40
2012-11-07,4.40,4.50,4.30,4.40,521100,4.40
2012-11-06,4.65,4.65,4.40,4.45,771900,4.45
2012-11-05,4.70,4.70,4.35,4.55,341700,4.55
2012-11-02,4.35,4.70,4.35,4.55,867200,4.55
2012-11-01,4.40,4.45,4.35,4.35,372300,4.35
2012-10-31,4.55,4.55,4.30,4.40,793200,4.40
2012-10-30,4.85,4.85,4.45,4.45,869900,4.45
2012-10-29,4.50,4.85,4.45,4.55,1099100,4.55
2012-10-26,4.45,4.45,4.45,4.45,000,4.45
2012-10-25,4.60,4.60,4.45,4.45,716700,4.45
2012-10-24,4.50,4.50,4.50,4.50,000,4.50
2012-10-23,4.70,4.80,4.50,4.50,589300,4.50
2012-10-22,4.90,4.90,4.55,4.65,784700,4.65
2012-10-19,5.00,5.15,4.80,4.90,1382100,4.90
2012-10-18,4.45,5.05,4.40,4.90,3680500,4.90
2012-10-17,4.50,4.65,4.30,4.40,963000,4.40
2012-10-16,4.95,4.95,4.35,4.45,972600,4.45
2012-10-15,4.60,4.75,4.50,4.55,1031300,4.55
2012-10-12,5.10,5.10,4.60,4.70,1546200,4.70
2012-10-11,5.25,5.50,4.70,4.95,7752600,4.95
2012-10-10,4.15,5.00,4.15,5.00,9676200,5.00
2012-10-09,4.10,4.40,4.00,4.20,1191700,4.20
2012-10-08,4.15,4.15,4.05,4.05,569700,4.05
2012-10-05,4.30,4.30,4.05,4.15,984600,4.15
2012-10-04,4.35,4.40,4.20,4.20,493200,4.20
2012-10-03,4.20,4.40,4.00,4.20,864000,4.20
2012-10-02,4.35,4.35,4.35,4.35,000,4.35
2012-10-01,4.65,4.65,4.00,4.35,898200,4.35
2012-09-28,4.25,4.60,4.20,4.45,2380900,4.45
2012-09-27,4.10,4.35,4.10,4.25,1076100,4.25
2012-09-26,4.25,4.35,3.95,4.10,1858800,4.10
2012-09-25,4.00,4.30,4.00,4.20,2192000,4.20
2012-09-24,3.70,4.10,3.70,4.00,1652900,4.00
2012-09-21,3.75,3.80,3.65,3.75,941200,3.75
2012-09-20,3.75,3.75,3.60,3.65,1168800,3.65
2012-09-19,3.65,3.65,3.65,3.65,000,3.65
2012-09-18,3.50,3.70,3.45,3.65,1349900,3.65
2012-09-17,3.40,3.55,3.35,3.50,838400,3.50
2012-09-14,3.50,3.55,3.25,3.30,1456300,3.30
2012-09-13,3.50,3.65,3.40,3.40,1013900,3.40
2012-09-12,2.95,3.55,2.80,3.50,2002500,3.50
2012-09-11,3.50,3.50,2.95,3.10,4689300,3.10
2012-09-10,3.70,3.90,3.40,3.55,1978800,3.55
2012-09-07,3.70,3.70,3.55,3.60,755300,3.60
2012-09-06,3.70,3.70,3.60,3.65,358100,3.65
2012-09-05,3.60,3.70,3.60,3.65,295200,3.65
2012-09-04,3.70,3.70,3.60,3.65,519300,3.65
2012-09-03,3.75,3.85,3.60,3.65,576600,3.65
2012-08-31,3.90,3.90,3.70,3.75,511900,3.75
2012-08-30,3.90,3.95,3.60,3.85,778300,3.85
2012-08-29,3.90,3.90,3.55,3.60,1257500,3.60
2012-08-28,3.90,3.95,3.75,3.80,720900,3.80
2012-08-27,4.00,4.00,3.85,3.90,520200,3.90
2012-08-24,4.00,4.00,3.90,3.95,540900,3.95
2012-08-23,4.00,4.10,3.90,3.95,1111600,3.95
2012-08-22,4.15,4.15,3.95,4.05,957700,4.05
2012-08-21,4.25,4.25,3.95,4.15,863900,4.15
2012-08-20,4.15,4.15,4.15,4.15,000,4.15
2012-08-17,4.05,4.20,4.00,4.15,569100,4.15
2012-08-16,4.15,4.20,3.50,4.05,1948500,4.05
2012-08-15,4.20,4.20,4.20,4.20,000,4.20
2012-08-14,4.20,4.50,4.10,4.20,721200,4.20
2012-08-13,4.30,4.35,4.20,4.20,223600,4.20
2012-08-10,4.30,4.30,4.15,4.25,455900,4.25
2012-08-09,4.25,4.30,4.25,4.25,319500,4.25
2012-08-08,4.30,4.30,4.25,4.25,342600,4.25
2012-08-07,4.25,4.45,4.25,4.25,615100,4.25
2012-08-06,4.25,4.35,4.20,4.25,600600,4.25
2012-08-03,4.35,4.35,4.15,4.20,468300,4.20
2012-08-02,4.15,4.35,4.15,4.30,715900,4.30
